nfhs4_statecode,nfhs4_state,SL_NO,ITEM_CATEGORY,region,measure,mpce
SK,Sikkim,6,sugar,Rural,MRP,11.79
MZ,Mizoram,7,salt,Rural,MRP,3.72
NL,Nagaland,7,salt,Rural,MRP,2.74
OR,Odisha,7,salt,Rural,MRP,2.93
PB,Punjab,7,salt,Rural,MRP,2.84
RJ,Rajasthan,7,salt,Rural,MRP,2.49
SK,Sikkim,7,salt,Rural,MRP,2.36
MZ,Mizoram,8,edible oil,Rural,MRP,42.93
NL,Nagaland,8,edible oil,Rural,MRP,14.89
OR,Odisha,8,edible oil,Rural,MRP,31.56
PB,Punjab,8,edible oil,Rural,MRP,58.9
RJ,Rajasthan,8,edible oil,Rural,MRP,48.43
SK,Sikkim,8,edible oil,Rural,MRP,61.68
MZ,Mizoram,9,"egg, fish & meat",Rural,MRP,122.1
NL,Nagaland,9,"egg, fish & meat",Rural,MRP,153.95
OR,Odisha,9,"egg, fish & meat",Rural,MRP,39.32
PB,Punjab,9,"egg, fish & meat",Rural,MRP,9.66
RJ,Rajasthan,9,"egg, fish & meat",Rural,MRP,13.03
SK,Sikkim,9,"egg, fish & meat",Rural,MRP,78.97
MZ,Mizoram,10,vegetables,Rural,MRP,120.35
NL,Nagaland,10,vegetables,Rural,MRP,108.02
OR,Odisha,10,vegetables,Rural,MRP,68.64
PB,Punjab,10,vegetables,Rural,MRP,78.68
RJ,Rajasthan,10,vegetables,Rural,MRP,49.82
SK,Sikkim,10,vegetables,Rural,MRP,93.47
MZ,Mizoram,11,fruits (fresh),Rural,MRP,11.87
NL,Nagaland,11,fruits (fresh),Rural,MRP,19.4
OR,Odisha,11,fruits (fresh),Rural,MRP,11.76
PB,Punjab,11,fruits (fresh),Rural,MRP,26.11
RJ,Rajasthan,11,fruits (fresh),Rural,MRP,16.49
SK,Sikkim,11,fruits (fresh),Rural,MRP,10.53
MZ,Mizoram,12,fruits (dry),Rural,MRP,0.33
NL,Nagaland,12,fruits (dry),Rural,MRP,0.41
OR,Odisha,12,fruits (dry),Rural,MRP,0.55
PB,Punjab,12,fruits (dry),Rural,MRP,6.88
RJ,Rajasthan,12,fruits (dry),Rural,MRP,5.58
SK,Sikkim,12,fruits (dry),Rural,MRP,0.57
MZ,Mizoram,13,spices,Rural,MRP,16.7
NL,Nagaland,13,spices,Rural,MRP,19.66
OR,Odisha,13,spices,Rural,MRP,22.05
PB,Punjab,13,spices,Rural,MRP,34.69
RJ,Rajasthan,13,spices,Rural,MRP,33.68
SK,Sikkim,13,spices,Rural,MRP,19.91
MZ,Mizoram,14,"beverages, refreshments, etc.",Rural,MRP,67.54
NL,Nagaland,14,"beverages, refreshments, etc.",Rural,MRP,63.05
OR,Odisha,14,"beverages, refreshments, etc.",Rural,MRP,54.24
PB,Punjab,14,"beverages, refreshments, etc.",Rural,MRP,111.22
RJ,Rajasthan,14,"beverages, refreshments, etc.",Rural,MRP,70
SK,Sikkim,14,"beverages, refreshments, etc.",Rural,MRP,118.71
MZ,Mizoram,15,food: total (1-14),Rural,MRP,651
NL,Nagaland,15,food: total (1-14),Rural,MRP,819.21
OR,Odisha,15,food: total (1-14),Rural,MRP,470.3
PB,Punjab,15,food: total (1-14),Rural,MRP,894.22
RJ,Rajasthan,15,food: total (1-14),Rural,MRP,689.68
SK,Sikkim,15,food: total (1-14),Rural,MRP,717.44
MZ,Mizoram,16,"pan, tobacco & intoxicants",Rural,MRP,115.46
NL,Nagaland,16,"pan, tobacco & intoxicants",Rural,MRP,55.28
OR,Odisha,16,"pan, tobacco & intoxicants",Rural,MRP,19.15
PB,Punjab,16,"pan, tobacco & intoxicants",Rural,MRP,25.16
RJ,Rajasthan,16,"pan, tobacco & intoxicants",Rural,MRP,43.96
SK,Sikkim,16,"pan, tobacco & intoxicants",Rural,MRP,53.71
MZ,Mizoram,17,fuel and light,Rural,MRP,136.95
NL,Nagaland,17,fuel and light,Rural,MRP,157.25
OR,Odisha,17,fuel and light,Rural,MRP,110.27
PB,Punjab,17,fuel and light,Rural,MRP,234.19
RJ,Rajasthan,17,fuel and light,Rural,MRP,150.6
SK,Sikkim,17,fuel and light,Rural,MRP,117.44
MZ,Mizoram,18,clothing & bedding,Rural,MRP,110.67
NL,Nagaland,18,clothing & bedding,Rural,MRP,142.54
OR,Odisha,18,clothing & bedding,Rural,MRP,67.08
PB,Punjab,18,clothing & bedding,Rural,MRP,139.73
RJ,Rajasthan,18,clothing & bedding,Rural,MRP,96.55
SK,Sikkim,18,clothing & bedding,Rural,MRP,155.4
MZ,Mizoram,19,footwear,Rural,MRP,49.48
NL,Nagaland,19,footwear,Rural,MRP,42.16
OR,Odisha,19,footwear,Rural,MRP,7.79
PB,Punjab,19,footwear,Rural,MRP,30.92
RJ,Rajasthan,19,footwear,Rural,MRP,20.43
SK,Sikkim,19,footwear,Rural,MRP,41.69
MZ,Mizoram,20,education,Rural,MRP,31.76
NL,Nagaland,20,education,Rural,MRP,155.44
OR,Odisha,20,education,Rural,MRP,22.25
PB,Punjab,20,education,Rural,MRP,133.46
RJ,Rajasthan,20,education,Rural,MRP,64.81
SK,Sikkim,20,education,Rural,MRP,56.53
MZ,Mizoram,21,medical (institutional),Rural,MRP,2.29
NL,Nagaland,21,medical (institutional),Rural,MRP,4.96
OR,Odisha,21,medical (institutional),Rural,MRP,15.09
PB,Punjab,21,medical (institutional),Rural,MRP,65.44
RJ,Rajasthan,21,medical (institutional),Rural,MRP,25.28
SK,Sikkim,21,medical (institutional),Rural,MRP,3.26
MZ,Mizoram,22,medical (non-institutional),Rural,MRP,20.59
NL,Nagaland,22,medical (non-institutional),Rural,MRP,15.09
OR,Odisha,22,medical (non-institutional),Rural,MRP,44.52
PB,Punjab,22,medical (non-institutional),Rural,MRP,132.27
RJ,Rajasthan,22,medical (non-institutional),Rural,MRP,65.87
SK,Sikkim,22,medical (non-institutional),Rural,MRP,11.93
MZ,Mizoram,23,entertainment,Rural,MRP,18.45
NL,Nagaland,23,entertainment,Rural,MRP,33.72
OR,Odisha,23,entertainment,Rural,MRP,8.88
PB,Punjab,23,entertainment,Rural,MRP,21.94
RJ,Rajasthan,23,entertainment,Rural,MRP,10.28
SK,Sikkim,23,entertainment,Rural,MRP,39.07
MZ,Mizoram,24,minor durable-type goods,Rural,MRP,9.63
NL,Nagaland,24,minor durable-type goods,Rural,MRP,16.74
OR,Odisha,24,minor durable-type goods,Rural,MRP,3.97
PB,Punjab,24,minor durable-type goods,Rural,MRP,4.08
RJ,Rajasthan,24,minor durable-type goods,Rural,MRP,3.93
SK,Sikkim,24,minor durable-type goods,Rural,MRP,5.56
MZ,Mizoram,25,toilet articles,Rural,MRP,41.16
NL,Nagaland,25,toilet articles,Rural,MRP,47.96
OR,Odisha,25,toilet articles,Rural,MRP,22.4
PB,Punjab,25,toilet articles,Rural,MRP,47.69
RJ,Rajasthan,25,toilet articles,Rural,MRP,31.7
SK,Sikkim,25,toilet articles,Rural,MRP,24.68
MZ,Mizoram,26,other household consumables,Rural,MRP,22.49
NL,Nagaland,26,other household consumables,Rural,MRP,27.51
OR,Odisha,26,other household consumables,Rural,MRP,18.24
PB,Punjab,26,other household consumables,Rural,MRP,51.83
RJ,Rajasthan,26,other household consumables,Rural,MRP,33.77
SK,Sikkim,26,other household consumables,Rural,MRP,19.06
MZ,Mizoram,27,consum. services excl. conveyance,Rural,MRP,91.98
NL,Nagaland,27,consum. services excl. conveyance,Rural,MRP,93.55
OR,Odisha,27,consum. services excl. conveyance,Rural,MRP,28.33
PB,Punjab,27,consum. services excl. conveyance,Rural,MRP,94.66
RJ,Rajasthan,27,consum. services excl. conveyance,Rural,MRP,77.15
SK,Sikkim,27,consum. services excl. conveyance,Rural,MRP,55.42
MZ,Mizoram,28,conveyance,Rural,MRP,50
NL,Nagaland,28,conveyance,Rural,MRP,83.52
OR,Odisha,28,conveyance,Rural,MRP,23.18
PB,Punjab,28,conveyance,Rural,MRP,141.52
RJ,Rajasthan,28,conveyance,Rural,MRP,78.87
SK,Sikkim,28,conveyance,Rural,MRP,73.42
MZ,Mizoram,29,rent,Rural,MRP,4.44
NL,Nagaland,29,rent,Rural,MRP,4.28
OR,Odisha,29,rent,Rural,MRP,1.55
PB,Punjab,29,rent,Rural,MRP,7.03
RJ,Rajasthan,29,rent,Rural,MRP,3.36
SK,Sikkim,29,rent,Rural,MRP,23.54
MZ,Mizoram,30,taxes & cesses,Rural,MRP,3.42
NL,Nagaland,30,taxes & cesses,Rural,MRP,2.36
OR,Odisha,30,taxes & cesses,Rural,MRP,0.7
PB,Punjab,30,taxes & cesses,Rural,MRP,8.53
RJ,Rajasthan,30,taxes & cesses,Rural,MRP,2.84
SK,Sikkim,30,taxes & cesses,Rural,MRP,1.66
MZ,Mizoram,31,durable goods,Rural,MRP,24.67
NL,Nagaland,31,durable goods,Rural,MRP,55.15
OR,Odisha,31,durable goods,Rural,MRP,41.1
PB,Punjab,31,durable goods,Rural,MRP,103.73
RJ,Rajasthan,31,durable goods,Rural,MRP,46.65
SK,Sikkim,31,durable goods,Rural,MRP,45.25
MZ,Mizoram,32,non-food: total (16-31),Rural,MRP,733.44
NL,Nagaland,32,non-food: total (16-31),Rural,MRP,937.49
OR,Odisha,32,non-food: total (16-31),Rural,MRP,434.49
PB,Punjab,32,non-food: total (16-31),Rural,MRP,1242.18
RJ,Rajasthan,32,non-food: total (16-31),Rural,MRP,756.06
SK,Sikkim,32,non-food: total (16-31),Rural,MRP,727.61
MZ,Mizoram,33,total expenditure (15+32),Rural,MRP,1384.44
NL,Nagaland,33,total expenditure (15+32),Rural,MRP,1756.7
OR,Odisha,33,total expenditure (15+32),Rural,MRP,904.78
PB,Punjab,33,total expenditure (15+32),Rural,MRP,2136.39
RJ,Rajasthan,33,total expenditure (15+32),Rural,MRP,1445.74
SK,Sikkim,33,total expenditure (15+32),Rural,MRP,1445.06
MZ,Mizoram,34,cooked meals recd. free in workpl.*,Rural,MRP,0.23
NL,Nagaland,34,cooked meals recd. free in workpl.*,Rural,MRP,0.09
OR,Odisha,34,cooked meals recd. free in workpl.*,Rural,MRP,0.82
PB,Punjab,34,cooked meals recd. free in workpl.*,Rural,MRP,2.92
RJ,Rajasthan,34,cooked meals recd. free in workpl.*,Rural,MRP,0.93
SK,Sikkim,34,cooked meals recd. free in workpl.*,Rural,MRP,1.34
MZ,Mizoram,35,cooked meals recd. as assistance *,Rural,MRP,20.48
NL,Nagaland,35,cooked meals recd. as assistance *,Rural,MRP,0.76
OR,Odisha,35,cooked meals recd. as assistance *,Rural,MRP,12.74
PB,Punjab,35,cooked meals recd. as assistance *,Rural,MRP,19.21
RJ,Rajasthan,35,cooked meals recd. as assistance *,Rural,MRP,14.36
SK,Sikkim,35,cooked meals recd. as assistance *,Rural,MRP,35.04
MZ,Mizoram,36,clothing & footwear (2nd hand) **,Rural,MRP,7.07
NL,Nagaland,36,clothing & footwear (2nd hand) **,Rural,MRP,19.83
OR,Odisha,36,clothing & footwear (2nd hand) **,Rural,MRP,0.13
PB,Punjab,36,clothing & footwear (2nd hand) **,Rural,MRP,0.63
RJ,Rajasthan,36,clothing & footwear (2nd hand) **,Rural,MRP,0.21
SK,Sikkim,36,clothing & footwear (2nd hand) **,Rural,MRP,2.14
MZ,Mizoram,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0.52
NL,Nagaland,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0.08
OR,Odisha,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0.17
PB,Punjab,37,"books, journals, etc. (2nd hand) @",Rural,MRP,1.2
RJ,Rajasthan,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0.3
SK,Sikkim,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0
MZ,Mizoram,38,durables (2nd hand) $,Rural,MRP,0.89
NL,Nagaland,38,durables (2nd hand) $,Rural,MRP,0.17
OR,Odisha,38,durables (2nd hand) $,Rural,MRP,0.93
PB,Punjab,38,durables (2nd hand) $,Rural,MRP,5.1
RJ,Rajasthan,38,durables (2nd hand) $,Rural,MRP,2.32
SK,Sikkim,38,durables (2nd hand) $,Rural,MRP,0.2
TN,Tamil Nadu,1,cereal,Rural,MRP,153.89
TR,Tripura,1,cereal,Rural,MRP,183.29
UP,Uttar Pradesh,1,cereal,Rural,MRP,129.53
UT,Uttarakhand,1,cereal,Rural,MRP,152.17
WB,West Bengal,1,cereal,Rural,MRP,207.85
AN,Andaman & Nicobar Islands,1,cereal,Rural,MRP,164.2
TN,Tamil Nadu,2,gram,Rural,MRP,6.28
TR,Tripura,2,gram,Rural,MRP,0.09
UP,Uttar Pradesh,2,gram,Rural,MRP,1.18
UT,Uttarakhand,2,gram,Rural,MRP,3.48
WB,West Bengal,2,gram,Rural,MRP,0.45
AN,Andaman & Nicobar Islands,2,gram,Rural,MRP,1.17
TN,Tamil Nadu,3,cereal substitutes,Rural,MRP,0.2
TR,Tripura,3,cereal substitutes,Rural,MRP,0.36
UP,Uttar Pradesh,3,cereal substitutes,Rural,MRP,0.05
UT,Uttarakhand,3,cereal substitutes,Rural,MRP,0
WB,West Bengal,3,cereal substitutes,Rural,MRP,0.03
AN,Andaman & Nicobar Islands,3,cereal substitutes,Rural,MRP,1.35
TN,Tamil Nadu,4,pulses and pulse products,Rural,MRP,46.3
TR,Tripura,4,pulses and pulse products,Rural,MRP,24.45
UP,Uttar Pradesh,4,pulses and pulse products,Rural,MRP,40.93
UT,Uttarakhand,4,pulses and pulse products,Rural,MRP,55.39
WB,West Bengal,4,pulses and pulse products,Rural,MRP,26.2
AN,Andaman & Nicobar Islands,4,pulses and pulse products,Rural,MRP,57.32
TN,Tamil Nadu,5,milk and milk products,Rural,MRP,92.45
TR,Tripura,5,milk and milk products,Rural,MRP,31.72
UP,Uttar Pradesh,5,milk and milk products,Rural,MRP,119.67
UT,Uttarakhand,5,milk and milk products,Rural,MRP,190.16
WB,West Bengal,5,milk and milk products,Rural,MRP,33.07
AN,Andaman & Nicobar Islands,5,milk and milk products,Rural,MRP,78.61
TN,Tamil Nadu,6,sugar,Rural,MRP,13.18
TR,Tripura,6,sugar,Rural,MRP,8.69
UP,Uttar Pradesh,6,sugar,Rural,MRP,25.1
UT,Uttarakhand,6,sugar,Rural,MRP,31.71
WB,West Bengal,6,sugar,Rural,MRP,15.77
AN,Andaman & Nicobar Islands,6,sugar,Rural,MRP,12.55
TN,Tamil Nadu,7,salt,Rural,MRP,2.7
TR,Tripura,7,salt,Rural,MRP,3.73
UP,Uttar Pradesh,7,salt,Rural,MRP,1.92
UT,Uttarakhand,7,salt,Rural,MRP,2.53
WB,West Bengal,7,salt,Rural,MRP,2.52
AN,Andaman & Nicobar Islands,7,salt,Rural,MRP,3.38
TN,Tamil Nadu,8,edible oil,Rural,MRP,35.74
TR,Tripura,8,edible oil,Rural,MRP,43.63
UP,Uttar Pradesh,8,edible oil,Rural,MRP,44.79
UT,Uttarakhand,8,edible oil,Rural,MRP,57.83
WB,West Bengal,8,edible oil,Rural,MRP,54.44
AN,Andaman & Nicobar Islands,8,edible oil,Rural,MRP,108.9
TN,Tamil Nadu,9,"egg, fish & meat",Rural,MRP,73.66
TR,Tripura,9,"egg, fish & meat",Rural,MRP,145.54
UP,Uttar Pradesh,9,"egg, fish & meat",Rural,MRP,19.01
UT,Uttarakhand,9,"egg, fish & meat",Rural,MRP,28.38
WB,West Bengal,9,"egg, fish & meat",Rural,MRP,100.95
AN,Andaman & Nicobar Islands,9,"egg, fish & meat",Rural,MRP,210.83
TN,Tamil Nadu,10,vegetables,Rural,MRP,62.08
TR,Tripura,10,vegetables,Rural,MRP,91.98
UP,Uttar Pradesh,10,vegetables,Rural,MRP,57.09
UT,Uttarakhand,10,vegetables,Rural,MRP,66.8
WB,West Bengal,10,vegetables,Rural,MRP,79.32
AN,Andaman & Nicobar Islands,10,vegetables,Rural,MRP,221.02
TN,Tamil Nadu,11,fruits (fresh),Rural,MRP,32.86
TR,Tripura,11,fruits (fresh),Rural,MRP,13.22
UP,Uttar Pradesh,11,fruits (fresh),Rural,MRP,12.29
UT,Uttarakhand,11,fruits (fresh),Rural,MRP,20.46
WB,West Bengal,11,fruits (fresh),Rural,MRP,15.94
AN,Andaman & Nicobar Islands,11,fruits (fresh),Rural,MRP,41.83
TN,Tamil Nadu,12,fruits (dry),Rural,MRP,3.06
TR,Tripura,12,fruits (dry),Rural,MRP,0.62
UP,Uttar Pradesh,12,fruits (dry),Rural,MRP,4.01
UT,Uttarakhand,12,fruits (dry),Rural,MRP,5.4
WB,West Bengal,12,fruits (dry),Rural,MRP,0.98
AN,Andaman & Nicobar Islands,12,fruits (dry),Rural,MRP,6.28
TN,Tamil Nadu,13,spices,Rural,MRP,46.16
TR,Tripura,13,spices,Rural,MRP,24.51
UP,Uttar Pradesh,13,spices,Rural,MRP,22.45
UT,Uttarakhand,13,spices,Rural,MRP,26.19
WB,West Bengal,13,spices,Rural,MRP,27.73
AN,Andaman & Nicobar Islands,13,spices,Rural,MRP,70.56
TN,Tamil Nadu,14,"beverages, refreshments, etc.",Rural,MRP,125.2
TR,Tripura,14,"beverages, refreshments, etc.",Rural,MRP,59.22
UP,Uttar Pradesh,14,"beverages, refreshments, etc.",Rural,MRP,52.5
UT,Uttarakhand,14,"beverages, refreshments, etc.",Rural,MRP,94.91
WB,West Bengal,14,"beverages, refreshments, etc.",Rural,MRP,74.68
AN,Andaman & Nicobar Islands,14,"beverages, refreshments, etc.",Rural,MRP,197.68
TN,Tamil Nadu,15,food: total (1-14),Rural,MRP,693.77
TR,Tripura,15,food: total (1-14),Rural,MRP,631.05
UP,Uttar Pradesh,15,food: total (1-14),Rural,MRP,530.52
UT,Uttarakhand,15,food: total (1-14),Rural,MRP,735.41
WB,West Bengal,15,food: total (1-14),Rural,MRP,639.92
AN,Andaman & Nicobar Islands,15,food: total (1-14),Rural,MRP,1175.67
TN,Tamil Nadu,16,"pan, tobacco & intoxicants",Rural,MRP,37.84
TR,Tripura,16,"pan, tobacco & intoxicants",Rural,MRP,58.23
UP,Uttar Pradesh,16,"pan, tobacco & intoxicants",Rural,MRP,21.57
UT,Uttarakhand,16,"pan, tobacco & intoxicants",Rural,MRP,41.7
WB,West Bengal,16,"pan, tobacco & intoxicants",Rural,MRP,24.13
AN,Andaman & Nicobar Islands,16,"pan, tobacco & intoxicants",Rural,MRP,104.01
TN,Tamil Nadu,17,fuel and light,Rural,MRP,103.8
TR,Tripura,17,fuel and light,Rural,MRP,97.84
UP,Uttar Pradesh,17,fuel and light,Rural,MRP,102.95
UT,Uttarakhand,17,fuel and light,Rural,MRP,131.48
WB,West Bengal,17,fuel and light,Rural,MRP,117.67
AN,Andaman & Nicobar Islands,17,fuel and light,Rural,MRP,152.39
TN,Tamil Nadu,18,clothing & bedding,Rural,MRP,88.74
TR,Tripura,18,clothing & bedding,Rural,MRP,93.05
UP,Uttar Pradesh,18,clothing & bedding,Rural,MRP,73.31
UT,Uttarakhand,18,clothing & bedding,Rural,MRP,121.61
WB,West Bengal,18,clothing & bedding,Rural,MRP,75.11
AN,Andaman & Nicobar Islands,18,clothing & bedding,Rural,MRP,183.68
TN,Tamil Nadu,19,footwear,Rural,MRP,11.56
TR,Tripura,19,footwear,Rural,MRP,12.6
UP,Uttar Pradesh,19,footwear,Rural,MRP,12.51
UT,Uttarakhand,19,footwear,Rural,MRP,26.12
WB,West Bengal,19,footwear,Rural,MRP,9.29
AN,Andaman & Nicobar Islands,19,footwear,Rural,MRP,28.96
TN,Tamil Nadu,20,education,Rural,MRP,88.61
TR,Tripura,20,education,Rural,MRP,63.72
UP,Uttar Pradesh,20,education,Rural,MRP,47.7
UT,Uttarakhand,20,education,Rural,MRP,90.08
WB,West Bengal,20,education,Rural,MRP,48.57
AN,Andaman & Nicobar Islands,20,education,Rural,MRP,69.81
TN,Tamil Nadu,21,medical (institutional),Rural,MRP,38.61
TR,Tripura,21,medical (institutional),Rural,MRP,9.75
UP,Uttar Pradesh,21,medical (institutional),Rural,MRP,34.77
UT,Uttarakhand,21,medical (institutional),Rural,MRP,17.54
WB,West Bengal,21,medical (institutional),Rural,MRP,24.55
AN,Andaman & Nicobar Islands,21,medical (institutional),Rural,MRP,12.02
TN,Tamil Nadu,22,medical (non-institutional),Rural,MRP,86.76
TR,Tripura,22,medical (non-institutional),Rural,MRP,42.7
UP,Uttar Pradesh,22,medical (non-institutional),Rural,MRP,69.74
UT,Uttarakhand,22,medical (non-institutional),Rural,MRP,49
WB,West Bengal,22,medical (non-institutional),Rural,MRP,68.94
AN,Andaman & Nicobar Islands,22,medical (non-institutional),Rural,MRP,15.9
TN,Tamil Nadu,23,entertainment,Rural,MRP,30.15
TR,Tripura,23,entertainment,Rural,MRP,14.12
UP,Uttar Pradesh,23,entertainment,Rural,MRP,5.85
UT,Uttarakhand,23,entertainment,Rural,MRP,21.74
WB,West Bengal,23,entertainment,Rural,MRP,10
AN,Andaman & Nicobar Islands,23,entertainment,Rural,MRP,35.28
TN,Tamil Nadu,24,minor durable-type goods,Rural,MRP,3.06
TR,Tripura,24,minor durable-type goods,Rural,MRP,2.36
UP,Uttar Pradesh,24,minor durable-type goods,Rural,MRP,2.99
UT,Uttarakhand,24,minor durable-type goods,Rural,MRP,5.75
WB,West Bengal,24,minor durable-type goods,Rural,MRP,2.68
AN,Andaman & Nicobar Islands,24,minor durable-type goods,Rural,MRP,9.73
TN,Tamil Nadu,25,toilet articles,Rural,MRP,42.83
TR,Tripura,25,toilet articles,Rural,MRP,22.76
UP,Uttar Pradesh,25,toilet articles,Rural,MRP,23.43
UT,Uttarakhand,25,toilet articles,Rural,MRP,32.41
WB,West Bengal,25,toilet articles,Rural,MRP,26.86
AN,Andaman & Nicobar Islands,25,toilet articles,Rural,MRP,92.7
TN,Tamil Nadu,26,other household consumables,Rural,MRP,46.8
TR,Tripura,26,other household consumables,Rural,MRP,17.12
UP,Uttar Pradesh,26,other household consumables,Rural,MRP,20.02
UT,Uttarakhand,26,other household consumables,Rural,MRP,31.41
WB,West Bengal,26,other household consumables,Rural,MRP,20.18
AN,Andaman & Nicobar Islands,26,other household consumables,Rural,MRP,65.05
TN,Tamil Nadu,27,consum. services excl. conveyance,Rural,MRP,70.09
TR,Tripura,27,consum. services excl. conveyance,Rural,MRP,47.69
UP,Uttar Pradesh,27,consum. services excl. conveyance,Rural,MRP,43.79
UT,Uttarakhand,27,consum. services excl. conveyance,Rural,MRP,77.59
WB,West Bengal,27,consum. services excl. conveyance,Rural,MRP,33.67
AN,Andaman & Nicobar Islands,27,consum. services excl. conveyance,Rural,MRP,112.69
TN,Tamil Nadu,28,conveyance,Rural,MRP,112.79
TR,Tripura,28,conveyance,Rural,MRP,44.19
UP,Uttar Pradesh,28,conveyance,Rural,MRP,39.26
UT,Uttarakhand,28,conveyance,Rural,MRP,77.63
WB,West Bengal,28,conveyance,Rural,MRP,32.31
AN,Andaman & Nicobar Islands,28,conveyance,Rural,MRP,202.67
TN,Tamil Nadu,29,rent,Rural,MRP,16.85
TR,Tripura,29,rent,Rural,MRP,1.5
UP,Uttar Pradesh,29,rent,Rural,MRP,1.37
UT,Uttarakhand,29,rent,Rural,MRP,15.06
WB,West Bengal,29,rent,Rural,MRP,1.83
AN,Andaman & Nicobar Islands,29,rent,Rural,MRP,125.24
TN,Tamil Nadu,30,taxes & cesses,Rural,MRP,5.19
TR,Tripura,30,taxes & cesses,Rural,MRP,0.59
UP,Uttar Pradesh,30,taxes & cesses,Rural,MRP,0.32
UT,Uttarakhand,30,taxes & cesses,Rural,MRP,5.15
WB,West Bengal,30,taxes & cesses,Rural,MRP,0.9
AN,Andaman & Nicobar Islands,30,taxes & cesses,Rural,MRP,1.26
TN,Tamil Nadu,31,durable goods,Rural,MRP,93.15
TR,Tripura,31,durable goods,Rural,MRP,34.88
UP,Uttar Pradesh,31,durable goods,Rural,MRP,42.82
UT,Uttarakhand,31,durable goods,Rural,MRP,71.74
WB,West Bengal,31,durable goods,Rural,MRP,33.49
AN,Andaman & Nicobar Islands,31,durable goods,Rural,MRP,121.1
TN,Tamil Nadu,32,non-food: total (16-31),Rural,MRP,876.84
TR,Tripura,32,non-food: total (16-31),Rural,MRP,563.09
UP,Uttar Pradesh,32,non-food: total (16-31),Rural,MRP,542.41
UT,Uttarakhand,32,non-food: total (16-31),Rural,MRP,816.01
WB,West Bengal,32,non-food: total (16-31),Rural,MRP,530.19
AN,Andaman & Nicobar Islands,32,non-food: total (16-31),Rural,MRP,1332.5
TN,Tamil Nadu,33,total expenditure (15+32),Rural,MRP,1570.61
TR,Tripura,33,total expenditure (15+32),Rural,MRP,1194.14
UP,Uttar Pradesh,33,total expenditure (15+32),Rural,MRP,1072.93
UT,Uttarakhand,33,total expenditure (15+32),Rural,MRP,1551.42
WB,West Bengal,33,total expenditure (15+32),Rural,MRP,1170.11
AN,Andaman & Nicobar Islands,33,total expenditure (15+32),Rural,MRP,2508.19
TN,Tamil Nadu,34,cooked meals recd. free in workpl.*,Rural,MRP,4.03
TR,Tripura,34,cooked meals recd. free in workpl.*,Rural,MRP,0.2
UP,Uttar Pradesh,34,cooked meals recd. free in workpl.*,Rural,MRP,0.72
UT,Uttarakhand,34,cooked meals recd. free in workpl.*,Rural,MRP,0.6
WB,West Bengal,34,cooked meals recd. free in workpl.*,Rural,MRP,2.59
AN,Andaman & Nicobar Islands,34,cooked meals recd. free in workpl.*,Rural,MRP,0
TN,Tamil Nadu,35,cooked meals recd. as assistance *,Rural,MRP,17.68
TR,Tripura,35,cooked meals recd. as assistance *,Rural,MRP,20.24
UP,Uttar Pradesh,35,cooked meals recd. as assistance *,Rural,MRP,10.42
UT,Uttarakhand,35,cooked meals recd. as assistance *,Rural,MRP,27.1
WB,West Bengal,35,cooked meals recd. as assistance *,Rural,MRP,17.46
AN,Andaman & Nicobar Islands,35,cooked meals recd. as assistance *,Rural,MRP,33.64
TN,Tamil Nadu,36,clothing & footwear (2nd hand) **,Rural,MRP,0.05
TR,Tripura,36,clothing & footwear (2nd hand) **,Rural,MRP,0.73
UP,Uttar Pradesh,36,clothing & footwear (2nd hand) **,Rural,MRP,0.21
UT,Uttarakhand,36,clothing & footwear (2nd hand) **,Rural,MRP,0.63
WB,West Bengal,36,clothing & footwear (2nd hand) **,Rural,MRP,0.59
AN,Andaman & Nicobar Islands,36,clothing & footwear (2nd hand) **,Rural,MRP,0.33
TN,Tamil Nadu,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0.07
TR,Tripura,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0.03
UP,Uttar Pradesh,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0.21
UT,Uttarakhand,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0.16
WB,West Bengal,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0.27
AN,Andaman & Nicobar Islands,37,"books, journals, etc. (2nd hand) @",Rural,MRP,0
TN,Tamil Nadu,38,durables (2nd hand) $,Rural,MRP,2.01
TR,Tripura,38,durables (2nd hand) $,Rural,MRP,0.05
UP,Uttar Pradesh,38,durables (2nd hand) $,Rural,MRP,1.52
UT,Uttarakhand,38,durables (2nd hand) $,Rural,MRP,2.65
WB,West Bengal,38,durables (2nd hand) $,Rural,MRP,1.07
AN,Andaman & Nicobar Islands,38,durables (2nd hand) $,Rural,MRP,3.43
CH,Chandigarh,1,cereal,Rural,MRP,165.85
DN,Dadra & Nagar Haveli,1,cereal,Rural,MRP,115.19
DD,Daman & Diu,1,cereal,Rural,MRP,181.99
LK,Lakshadweep,1,cereal,Rural,MRP,145.97
PY,Puducherry,1,cereal,Rural,MRP,159.52
IN,India,1,cereal,Rural,MRP,153.13
CH,Chandigarh,2,gram,Rural,MRP,11.76
